pubkey,idebt_ratio,idebt_loaded,idebt_depth,idebt_agents,trustrank,in_degree,endorsement_count
0ad7c62228d8fb4422dbef6706050048b4d1f3d2faf22a4f2cd8e22862ebab5c,7.453073e-06,1,2,1,1.881699e-04,1,1
0af25ea6a877749277be8c7f9fa160d4cbde3fd034bc087f53627ac6d3e3d8d5,7.453073e-06,1,2,1,1.881699e-04,1,1
0b54d5ae88cbaccd664121c60dd7673a64f388ae961ce301680d8f19a7b81778,6.453602e-07,1,3,1,1.006080e-05,1,1
0bd1310acdc161ab9520d2af21c1bc34a0fba2d99d77acd4f81fa94a02a8d8bd,7.453073e-06,1,2,1,1.881699e-04,1,1
0d4b1f7f9d90259bcec956a3c18156929b55c8336974dacc05eb6b4029046b25,4.658171e-08,1,3,1,2.191735e-06,1,1
0dc469e0ba62937f424f5bd32512c670182cc9cea7dcd76b2deda8dca38d188b,1.676941e-09,1,4,1,1.377037e-07,1,2
0ea4474336e3011fc46a8cffdf4b65ceaf970a31da9d477ec1580846bb1abb36,1.629123e-05,1,2,1,4.293068e-04,1,1
0edd0d719565e9800e9f3fabf4d1e40e888d264dc81066913d7622310be1274a,1.629123e-05,1,2,1,4.293068e-04,1,1
0ee99c96fb9090cdf56dc7ca5150511a537a00b711270105c2cc288bbe27c5bb,7.453073e-06,1,2,1,1.881699e-04,1,1
0f7c8073e6475dafb4e5b33a37adf536ccee8c3c65e23e352cb0da3adc2dba59,1.787290e-05,1,2,1,4.851167e-04,1,1
0fb03956c40b0c46c27748151359a4090dd6c73994f9242c0d3e54cfd19eef3a,1.787290e-05,1,2,1,4.851167e-04,1,1
102a641cc77bca3cb5739425a295da854e79073b481b0e1433200dc99ca8e381,7.453073e-06,1,2,1,1.881699e-04,1,1
106d46997176f64f0dd2cdcea3497819d2b6ebb77c12da0c56e9cd70da27a737,7.453073e-06,1,2,1,1.881699e-04,1,1
110a48f315106d3331e1b3564cfffc8a74c86c08e610e0307d60fbe36215024b,4.658171e-08,1,3,1,2.191735e-06,1,1
111b0edd04602e53642bf10b9a0952a529f161ee4f14dc976477f3b1671332d5,1.497269e-09,1,4,1,6.639285e-08,1,1
114605c21a422728959db112f1067f6adb562c95422716e36f9434330d510953,1.787290e-05,1,2,1,4.851167e-04,1,1
1162349fdeaf431e71ab55898cb2a425b971d466150c2aa5b3c1beb498045a37,2.102559e-03,1,1,1,5.756776e-02,1,1
1228b73227bf2d5a3ae7d312d60856f8e872ce719559ea0bd6e9e5544962b008,1.629123e-05,1,2,1,4.293068e-04,1,1
127daa9d82afb2bbe798b445fd9c11bb25c5c07d7505f85a73375bd8e3d41e6f,3.726537e-06,1,2,1,1.881699e-04,1,1
12f741f1cd045d21abd9b7a0ada873c01059d4ee4de219033b4ee6a7db4853c9,1.629123e-05,1,2,1,4.293068e-04,1,1
12f8db39009e2ac3bbab502010139c93945be7b384e5523529c4c1bf4abb231a,3.726537e-06,1,2,1,1.881699e-04,1,1
134a4406facecce4abb192e0ea49dc6e44528a54aeb536c82b83c09265bfbf49,1.629123e-05,1,2,1,4.293068e-04,1,1
13c41dac9e983c111f27bf7e38692b5b85797198ff2e4d9d3e61eb7c0e5ded39,7.453073e-06,1,2,1,1.881699e-04,1,1
1460f082f4db23d05232642548f6b567c4b7be4d202672795d1836c34c20fc5a,7.453073e-06,1,2,1,1.881699e-04,1,1
1494e31f51743803c89ddf76dc92d8014a6add83d8295cb1c17dc8f64c56ba83,7.453073e-06,1,2,1,1.881699e-04,1,1
14c2bab689317176fba325600c16de0c908da9df79e377f2bcd73ac02816c8f6,7.453073e-06,1,2,1,1.881699e-04,1,1
15ef872a163de8cc805e46985dc326c4558e58eb86cda8e94d6a2f5f84de07bb,7.453073e-06,1,2,1,1.881699e-04,1,1
15f0e3c6bb5b66bbf425192c1187deedc28e391eebf78ecccb2abd590ca01123,1.787290e-05,1,2,1,4.851167e-04,1,1
16233227fcac5b8b6c7fbf96c735aee0cb2c67c9142849044c21aa4255e311db,1.497269e-09,1,4,1,6.639285e-08,1,1
170211c91a70e67992d52c760de3f0052c8c7271bd3c225ef0347245e8517ff6,2.102559e-03,1,1,1,5.708264e-02,0,0
170387e843b6ce23a305391b7a67c564a813ed3305699b547f51d6e263e57c11,1.629123e-05,1,2,1,4.293068e-04,1,1
1747ab3c38d0f4d6747de44f9c462af652142f2fe737c15f50f57862590d6449,1.787290e-05,1,2,1,4.851167e-04,1,1
17a550aac705139fb893390809ea3e44164731b72096a79237990f3e468d2312,4.124516e-07,1,3,1,1.006080e-05,1,1
17b6a8b00018af80bcf9415649d3a88c49648325f86f451e788467ff3c8d4a4d,1.612444e-09,1,4,1,0.000000e+00,0,0
1825f4ab3cb8b3ea50b79afac924f58e6f9fe8e5b95f6a796cb9cfe8d2504350,0.000000e+00,0,,2,8.586137e-04,1,2
182d8d73ffbe1b7b94b49b2b6283d67bf9a4d2e061a0822635b84ab0198edc40,1.787290e-05,1,2,1,4.851167e-04,1,1
18c230bba0c8c83f081d8db0bcd2d818c30a2f2e36e66d521447ea063ab9d459,1.227013e-05,1,2,1,1.006080e-05,1,1
18fba0f139477ae00913da364241139d8a7ec60650980e225458a6592001fada,1.787290e-05,1,2,1,4.851167e-04,1,1
19b94977434e9a30d707e1762bba8f1c08759af358c6936f66b3d65dd5cf2844,1.787290e-05,1,2,1,4.851167e-04,1,1
1a51b77a2bca78019f6bc5d2ef18a001115305572cefbe0a0a69288afe95725e,4.658171e-08,1,3,1,2.191735e-06,1,1
1af77dff62441d31a498db19361427af4cdb56478de0f34153e0c24bbe664b08,7.453073e-06,1,2,1,3.763397e-04,1,2
1b4d814697c847424e43642d9ac34e2d8e21f7be8469d6f6cb518b13418134f6,4.124516e-07,1,3,1,1.006080e-05,1,1
1bfd77012d71f641d914dda82f3edfd7a2fd114a0f45b057b2813e3380ccd792,1.629123e-05,1,2,1,4.293068e-04,1,1
1cb47db191c648ca538db3dffe453b19494d1734b39dbf784ae6dbd47b8851d8,1.192492e-05,1,2,1,2.281690e-04,2,2
1cb8553a2dda05c75a93e41dcc6e55f5b30afaa87fbc3ce647d07947009d2c5b,7.453073e-06,1,2,1,1.881699e-04,1,1
1cb9d9583dee7b96b6b0f1abae3ec9d98acc2405a129ec71634004a1cb511262,7.453073e-06,1,2,1,1.881699e-04,1,1
1d25bf82bd87ca710760c9fae448dde786b1da6b31132bc5c9c948b2eca64189,8.273245e-03,1,1,1,5.708264e-02,0,0
1d9e520f5de3b434d58908cc690712fa13442dfb617ec33de7378605ebb768f6,3.726537e-06,1,2,1,1.881699e-04,1,1
1dea54409bf46791ad2a973b691278ea04c148f5a22fb5b5e0eca1ce8a228436,1.787290e-05,1,2,1,0.000000e+00,0,0
1e12bfd7915eab30d994b93cd7878591db3a4854607273de1614b812b1ed099c,1.629123e-05,1,2,1,4.293068e-04,1,1
